ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
18248,I am a student who is learning to code,"Student, full-time",Portugal,,,Some college/university study without earning a degree,11 - 17 years,School,,,,,,,,,,,,,,,,,,,,,,Windows,Visit Stack Overflow;Meditate,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,18-24 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,I have an anxiety disorder,Appropriate in length,Easy,
18692,I code primarily as a hobby,"Not employed, and not looking for work",Portugal,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",3,,,,,,,Java;JavaScript;Kotlin;Node.js,JavaScript;Kotlin;Node.js,Firebase;MongoDB;SQLite,Cassandra;Firebase;MongoDB;PostgreSQL;Redis,Google Cloud Platform;Heroku,Google Cloud Platform,React.js,React.js,React Native;TensorFlow,React Native;TensorFlow,Git;Yarn,Git;Yarn,Android Studio;Atom;IntelliJ;Visual Studio;Visual Studio Code,Android Studio;IntelliJ;Visual Studio Code,Windows,Visit Stack Overflow;Watch help / tutorial videos;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",Yes,18-24 years old,Man,,,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
18858,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",10,6,"Developer, mobile",20 to 99 employees,EUR European Euro,36400.0,Yearly,C;C++;Dart;Java;JavaScript;Kotlin;Objective-C;Swift;TypeScript,Dart;Kotlin;Swift,,,,,React.js,,Flutter;React Native,Flutter,Git,Git,Android Studio;IntelliJ;Visual Studio Code;Xcode,Android Studio;IntelliJ;Xcode,MacOS,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,39348.0
19025,I am a student who is learning to code,"Student, full-time",Portugal,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,School,,,,,,,,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;Python;TypeScript,MySQL,MySQL;PostgreSQL,AWS;Google Cloud Platform;Heroku,AWS;Google Cloud Platform,Django;jQuery,Django;jQuery;React.js,NumPy,,Git,Git,Eclipse;IPython/Jupyter;Notepad++;Sublime Text;Vim;Visual Studio Code,Notepad++;Vim;Visual Studio Code,Windows Subsystem for Linux (WSL),Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
19302,I am a developer by profession,Employed full-time,Portugal,,,"Professional degree (JD, MD, etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",14,7,"Developer, front-end;Developer, full-stack;Developer, back-end",10 to 19 employees,EUR European Euro,3000.0,Monthly,JavaScript;TypeScript,,Microsoft SQL Server,,AWS;Google Cloud Platform;IBM Cloud or Watson;Microsoft Azure,,React.js,React.js,React Native,React Native,Git,Git,Visual Studio Code,,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual;Bisexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,38916.0
19370,I am a developer by profession,Employed full-time,Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,14,9,"Developer, mobile","1,000 to 4,999 employees",EUR European Euro,,Monthly,Swift,Swift,,,,,,,,,Git,Git,Visual Studio Code;Xcode,Visual Studio Code;Xcode,MacOS,Call a coworker or friend;Google it;Panic,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
19923,I am a developer by profession,Employed full-time,Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35 - 44 years,School,11,8,"Developer, front-end;Developer, back-end","1,000 to 4,999 employees",EUR European Euro,42840.0,Yearly,Java,Java;Python,IBM DB2,IBM DB2,,,,,,,,,Atom;Eclipse;NetBeans,Atom;Eclipse;NetBeans,Linux-based,Call a coworker or friend;Visit Stack Overflow,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,I have an anxiety disorder,Appropriate in length,Easy,46309.0
19938,I am a student who is learning to code,"Student, full-time",Portugal,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum",9,,,,,,,Assembly;C;HTML/CSS;Java;JavaScript;Node.js;Scala;SQL,Assembly;C;Java;JavaScript;Node.js;Rust;Scala,MySQL;Redis,MySQL;Redis,,,,,,,Git,Git,Eclipse;IntelliJ;Visual Studio;Visual Studio Code,IntelliJ;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,Prefer not to say,Appropriate in length,Easy,
20076,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35 - 44 years,School;Online Courses or Certification;Colleague;Books / Physical media,27,23,"Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test","10,000 or more employees",EUR European Euro,70000.0,Yearly,Go;JavaScript;Node.js;SQL;TypeScript,Go;Node.js;SQL;TypeScript,DynamoDB;MariaDB;MySQL;PostgreSQL,DynamoDB;PostgreSQL;SQLite,AWS;Google Cloud Platform,AWS;Google Cloud Platform,,,,,Docker;Git,Deno;Docker;Git;Kubernetes;Terraform,Neovim;Vim;Visual Studio Code,Neovim;Vim;Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, definitely",No,35-44 years old,Man,No,Straight / Heterosexual,I don't know;Multiracial;Hispanic or Latino/a/x,None of the above,I have an anxiety disorder,Appropriate in length,Easy,75669.0
20261,I am a developer by profession,Employed full-time,Portugal,,,Some college/university study without earning a degree,18 - 24 years,Online Forum;Online Courses or Certification;Colleague,9,9,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;System administrator","5,000 to 9,999 employees",EUR European Euro,51000.0,Yearly,Bash/Shell;HTML/CSS;JavaScript,HTML/CSS;JavaScript;Node.js;TypeScript,,,AWS;Microsoft Azure,,,,,,Git,Git,Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,55130.0
20858,I am a developer by profession,Employed full-time,Portugal,,,Some college/university study without earning a degree,11 - 17 years,Books / Physical media,33,20,"Developer, mobile",2 to 9 employees,EUR European Euro,31920.0,Yearly,JavaScript;Objective-C;Swift;TypeScript,Assembly;C;Swift,,,,,,,,,Docker;Git,Git,Vim;Visual Studio Code;Xcode,Vim;Xcode,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,45-54 years old,Man,No,Prefer not to say,White or of European descent,None of the above,I have an anxiety disorder,Appropriate in length,Neither easy nor difficult,34505.0
20947,I am a developer by profession,Employed full-time,Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",15,10,"Developer, full-stack",20 to 99 employees,EUR European Euro,28900.0,Yearly,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript;VBA,C#;HTML/CSS;JavaScript;Python;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Elasticsearch;Firebase,Microsoft Azure,Microsoft Azure,Angular;Angular.js;ASP.NET;jQuery;React.js;Vue.js,ASP.NET;ASP.NET Core ;React.js;Vue.js,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5;React Native;TensorFlow,Git,Docker;Git,Visual Studio;Visual Studio Code,Android Studio;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,31240.0
21292,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed",Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",5,,Academic researcher,,,,,C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Python,,,,,,ASP.NET,,.NET Framework;.NET Core / .NET 5;NumPy;Qt,,Git,,Visual Studio;Visual Studio Code,,Windows,Visit Stack Overflow;Google it,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too long,Easy,
21371,I am a student who is learning to code,"Student, full-time",Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Other (please specify):,6,,,,,,,Assembly;Bash/Shell;C;C#;HTML/CSS;Java;JavaScript;Kotlin;Matlab;Node.js;Python;SQL;TypeScript,C;C#;JavaScript;Kotlin;Node.js,Elasticsearch;Firebase;Microsoft SQL Server;PostgreSQL,PostgreSQL,Google Cloud Platform,,Express;React.js;Spring,Express,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5;Qt,Docker;Git,Docker;Git,Android Studio;IntelliJ;PyCharm;Rider;Webstorm,Android Studio;IntelliJ;PyCharm;Rider;Webstorm,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,No,Bisexual;Prefer to self-describe:,White or of European descent,None of the above,"Or, in your own words:",Appropriate in length,Easy,
21554,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,Other (please specify):,20,13,"Developer, back-end;Developer, embedded applications or devices",20 to 99 employees,EUR European Euro,,,C++;Go;Java,C++;Rust,,,,,,,,,Docker;Git;Kubernetes,Docker;Git,IntelliJ;Notepad++;Vim;Visual Studio Code,IntelliJ;Notepad++;Vim;Visual Studio Code,Linux-based,Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,,Neutral,No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
21564,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,Other (please specify):;Books / Physical media,15,5,"Developer, desktop or enterprise applications","10,000 or more employees",EUR European Euro,1500.0,Monthly,Bash/Shell;C;C#;C++;Python,Bash/Shell;C;C#;C++;Python,MySQL;Oracle,,,,,,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5,Git,Git,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Do other work and come back later;Panic;Visit another developer community (please name):;Other (please specify):,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too long,Easy,19452.0
23573,I am a developer by profession,Employed full-time,Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Books / Physical media,32,24,"Developer, desktop or enterprise applications;Developer, full-stack;Database administrator;System administrator",2 to 9 employees,EUR European Euro,1500.0,Monthly,C#;HTML/CSS;JavaScript;Node.js;Python;SQL;VBA,C#;HTML/CSS;JavaScript;Node.js;Python;SQL;VBA,Microsoft SQL Server,Microsoft SQL Server,,,ASP.NET Core ;Express;jQuery,ASP.NET Core ;Express,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5,Git,Git,Notepad++;Vim;Visual Studio;Visual Studio Code,Notepad++;Vim;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",No,45-54 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,19452.0
23688,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,11,5,"Developer, back-end","10,000 or more employees",EUR European Euro,35000.0,Yearly,Assembly;C;C++;HTML/CSS;Java;JavaScript;Node.js;SQL,Kotlin;TypeScript,Cassandra;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Redis,AWS;Google Cloud Platform;Microsoft Azure,,Angular;jQuery;React.js;Spring,,,,Docker;Git;Kubernetes,,Atom;Eclipse;IntelliJ;NetBeans;Notepad++;Sublime Text;Vim;Visual Studio Code;Webstorm;Xcode,,Windows,Go for a walk or other physical activity,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,37834.0
24016,I am a developer by profession,Employed full-time,Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Online Courses or Certification;Colleague;Books / Physical media,10,3,"Developer, front-end;Developer, full-stack;Developer, back-end",500 to 999 employees,EUR European Euro,24000.0,Yearly,Bash/Shell;HTML/CSS;Java;JavaScript;SQL;TypeScript,Bash/Shell;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,MySQL;Oracle,MySQL;Oracle;PostgreSQL,,,Angular,Angular;React.js;Spring,,,,,IntelliJ;Notepad++;Visual Studio Code,IntelliJ;Notepad++;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too long,Neither easy nor difficult,25944.0
24098,I am a developer by profession,Employed full-time,Portugal,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,School;Friend or family member,18,10,Engineering manager,2 to 9 employees,EUR European Euro,,,PHP;SQL,Kotlin;Python,MySQL,,AWS,,Laravel,,,,Docker;Git;Yarn,,PHPStorm;PyCharm;Sublime Text,,Linux-based,Visit Stack Overflow;Google it;Meditate;Play games,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too long,Neither easy nor difficult,
24288,I am a developer by profession,Employed full-time,Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",10,Less than 1 year,"Developer, full-stack",20 to 99 employees,EUR European Euro,800.0,Monthly,HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;TypeScript,HTML/CSS;JavaScript;Node.js;Python;Rust;SQL;TypeScript,MongoDB;MySQL;PostgreSQL,Firebase;MongoDB;MySQL;PostgreSQL,AWS;DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure,DigitalOcean;Google Cloud Platform;Heroku,Express;Gatsby;jQuery;React.js;Vue.js,Express;Gatsby;React.js;Svelte;Vue.js,.NET Framework;.NET Core / .NET 5;React Native,Flutter;React Native;TensorFlow,Docker;Git;Kubernetes;Yarn,Deno;Docker;Git;Kubernetes;Yarn,Android Studio;Visual Studio;Visual Studio Code,Visual Studio Code,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,No,Bisexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,10380.0
24329,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum",21,18,"Developer, desktop or enterprise applications;Developer, embedded applications or devices",2 to 9 employees,EUR European Euro,,,C;C++;JavaScript;Node.js;TypeScript,C;C++;Go;JavaScript;Node.js;TypeScript,MongoDB,MongoDB,,,Angular,Angular;Vue.js,Qt;TensorFlow,Qt;TensorFlow;Torch/PyTorch,Docker;Git,Deno;Docker;Git,Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,A few times per week,Yes,A few times per month or weekly,Neutral,No,35-44 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,
24356,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,School,13,9,"Developer, full-stack",2 to 9 employees,EUR European Euro,4000.0,Monthly,Crystal;HTML/CSS;JavaScript;Ruby;SQL,Crystal;Ruby;SQL;Swift;TypeScript,DynamoDB;PostgreSQL;Redis,DynamoDB;PostgreSQL;Redis,AWS;Heroku,AWS;Heroku,Ruby on Rails,,,,Docker;Git,Docker;Git;Terraform,Sublime Text,Sublime Text,MacOS,Google it;Other (please specify):,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,51888.0
24365,I am a developer by profession,Employed full-time,Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,7,2,"Developer, full-stack",100 to 499 employees,EUR European Euro,22000.0,Yearly,C#;Java;JavaScript;Rust;TypeScript,C#;C++;Elixir;Go;Rust;TypeScript,IBM DB2;Microsoft SQL Server,Cassandra;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Microsoft Azure,AWS;Microsoft Azure,Angular;ASP.NET Core ;Spring,ASP.NET Core ;Flask;Gatsby;Spring;Vue.js,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5;Flutter;Qt,Docker;Git;Xamarin,Ansible;Docker;Git;Terraform;Unity 3D;Unreal Engine,Emacs;IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Emacs;IntelliJ;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,23782.0
24454,I am a student who is learning to code,"Student, full-time",Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School;Online Courses or Certification;Colleague,5,,,,,,,C;C++;HTML/CSS;Java;SQL,C#;HTML/CSS;Java;Kotlin;PHP;SQL,MySQL,MySQL;PostgreSQL,,,Spring,Angular;jQuery;Spring,,,Git,Git,IntelliJ;Visual Studio Code,Android Studio;IntelliJ;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
24548,I am a developer by profession,"Student, full-time",Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media",7,,,,,,,Go;Python,Go;Python,Elasticsearch;MongoDB,MongoDB,,,,,NumPy;Pandas,NumPy;Pandas,Ansible;Docker;Git;Kubernetes,Ansible;Docker;Git;Kubernetes,IntelliJ;PyCharm;Sublime Text;Visual Studio Code,IntelliJ;Sublime Text,MacOS,Google it;Watch help / tutorial videos;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,18-24 years old,Man,No,Straight / Heterosexual,Multiracial,None of the above,None of the above,Appropriate in length,Easy,
24588,I am a student who is learning to code,"Student, full-time",Portugal,,,Some college/university study without earning a degree,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague",4,,,,,,,Assembly;Bash/Shell;C;Java;Matlab;Python;SQL,Java;JavaScript;Python,PostgreSQL,MongoDB;MySQL;SQLite,Heroku,,Flask,React.js,NumPy;Pandas,,Docker;Git,Docker;Git,Atom;IntelliJ;IPython/Jupyter;Notepad++;PyCharm;Sublime Text;Visual Studio Code,IntelliJ;IPython/Jupyter;Notepad++;PyCharm;Sublime Text;Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
24908,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25 - 34 years,School;Online Courses or Certification,4,1,System administrator,100 to 499 employees,EUR European Euro,,,C#;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;SQL,Python,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,,,,jQuery;React.js,,.NET Framework,.NET Framework;React Native,Git,Git;Xamarin,Android Studio;Eclipse;Notepad++;PyCharm;Visual Studio;Visual Studio Code,Android Studio;PyCharm;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,Yes,35-44 years old,Man,,,,,,,,
25074,I am a developer by profession,Employed full-time,Portugal,,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,School,8,5,"Developer, back-end",500 to 999 employees,EUR European Euro,,,Ruby,C;Elixir;Ruby,,,AWS,AWS;Heroku,,,,,Git,Git,Vim,Vim,Linux-based,Go for a walk or other physical activity;Meditate,Stack Overflow,A few times per week,Yes,A few times per week,Not sure,No,,Man,,,,,,,,
25576,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25 - 34 years,Other (please specify):,4,2,Data or business analyst,20 to 99 employees,EUR European Euro,,,Python;R;SQL,,PostgreSQL,,Google Cloud Platform,,,,Keras;NumPy;Pandas;TensorFlow,Keras;NumPy;Pandas;TensorFlow,Git,Git,IntelliJ,IntelliJ,Linux-based,Visit Stack Overflow;Google it;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",No,25-34 years old,Woman,No,,White or of European descent,,,Appropriate in length,Easy,
25618,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,School,13,5,"Developer, embedded applications or devices;Educator","1,000 to 4,999 employees",EUR European Euro,40000.0,Yearly,C;C++;Python,C;C++;Python;Rust,,,,,,,,,Docker;Git,Docker;Git,Eclipse;Visual Studio Code,Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,43239.0
25683,I am a student who is learning to code,"Student, full-time",Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",2,,,,,,,Java;Python,Java;Python,,,,,,,NumPy;Pandas,NumPy;Pandas;TensorFlow,,,Android Studio;PyCharm;Visual Studio,Android Studio;PyCharm;Visual Studio,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
25765,I am a student who is learning to code,"Not employed, but looking for work",Portugal,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Other (please specify):",4,,"Developer, front-end;Developer, full-stack;Developer, back-end;Academic researcher;Student",,,,,Assembly;Bash/Shell;C;C++;HTML/CSS;JavaScript;Node.js;Python;SQL,Assembly;Bash/Shell;C;C++;Haskell;HTML/CSS;JavaScript;Node.js;Python;SQL,MariaDB;Microsoft SQL Server;MongoDB;MySQL,PostgreSQL;Redis,,,Express;React.js,Express;React.js;Vue.js,,,Git,Docker;Git,Neovim;Vim;Visual Studio;Visual Studio Code,Neovim;Vim,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games;Panic;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,No,18-24 years old,Man,No,Bisexual,White or of European descent,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Neither easy nor difficult,
